id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8601120,Rental unit in Florence · ★4.72 · 2 bedrooms · 5 beds · 2 baths,45259677,Lorenzo,,Centro Storico,43.78617,11.24023,Entire home/apt,163,5,25,2023-10-08,0.40,1,357,10,
8601157,Loft in Florence · ★4.89 · 1 bedroom · 1 bed · 1 bath,35617367,Marco,,Campo di Marte,43.80907,11.27316,Entire home/apt,49,2,640,2023-12-13,6.44,2,0,86,
7773205,Rental unit in Florence · ★4.0 · 1 bedroom · 1 bed · 1 bath,40889517,Chiara,,Rifredi,43.80819,11.24435,Entire home/apt,,2,3,2016-01-03,0.03,1,0,0,
8605134,Rental unit in Florence · ★4.48 · 2 bedrooms · 2 beds · 1.5 baths,16185279,Leonardo,,Centro Storico,43.77836,11.25302,Entire home/apt,150,2,71,2023-11-03,0.73,28,13,4,
8626824,Condo in Florence · ★4.75 · 1 bedroom · 1 bed · 1 bath,1678042,Cosimo,,Centro Storico,43.767841,11.249672,Entire home/apt,75,2,4,2019-05-22,0.04,4,110,0,048017LTN5522
7779943,Rental unit in Florence · ★4.68 · 1 bedroom · 4 beds · 1 bath,15883783,Andrea,,Centro Storico,43.77348,11.25173,Entire home/apt,,2,125,2017-10-29,1.25,1,0,0,
8641356,Rental unit in Florence · ★4.78 · 1 bedroom · 1 bed · 1 bath,8908604,Uma & Tina,,Centro Storico,43.76646,11.24606,Entire home/apt,111,5,231,2023-10-18,2.46,1,362,18,
8644242,Rental unit in Florence · ★4.89 · 1 bedroom · 1 bed · 1 bath,45441349,Michele,,Centro Storico,43.77541,11.24429,Entire home/apt,114,2,342,2023-12-01,3.43,1,0,55,
7788720,Loft in Florence · ★4.85 · 1 bedroom · 1 bath,34920124,Ada,,Centro Storico,43.77267,11.25302,Entire home/apt,90,3,346,2023-11-27,3.46,2,7,42,
7812609,Rental unit in Florence · ★4.67 · 1 bedroom · 1 bed · 1 bath,21290424,Alessio,,Campo di Marte,43.78318,11.28718,Private room,,3,3,2015-09-15,0.03,1,0,0,
8687565,Rental unit in Florence · ★4.96 · 1 bedroom · 1 bed · 1 bath,33288593,Eleonora,,Rifredi,43.78603,11.26195,Entire home/apt,124,7,23,2023-09-11,0.34,2,26,2,
8694977,Rental unit in Florence · ★4.90 · 1 bedroom · 1 bed · 1 bath,33288593,Eleonora,,Rifredi,43.78794,11.26204,Entire home/apt,120,10,10,2023-08-23,0.14,2,7,2,
7817331,Loft in Florence · ★4.87 · 1 bedroom · 2 beds · 1 bath,41155959,Andrea,,Centro Storico,43.77365,11.26298,Entire home/apt,104,3,354,2023-11-29,3.59,1,256,45,7817331
8726577,Rental unit in Florence · 1 bedroom · 1 bed · 1 bath,3506247,Andresa,,Campo di Marte,43.76955,11.27388,Entire home/apt,,21,0,,,1,0,0,
7819692,Rental unit in Florence · ★4.64 · 2 bedrooms · 4 beds · 1 bath,9903656,Lorenzo,,Centro Storico,43.77536,11.23794,Entire home/apt,140,3,70,2023-10-22,0.70,3,308,10,
8729382,Condo in Florence · ★4.81 · 1 bedroom · 1 bed · 1 bath,45807739,Silvia,,Centro Storico,43.7809,11.2369,Entire home/apt,90,2,239,2023-10-31,2.42,1,164,32,
7853723,Rental unit in Florence · 2 bedrooms · 5 beds · 2 baths,41386034,Leonardo,,Gavinana Galluzzo,43.761169,11.28768,Entire home/apt,45,80,1,2022-09-30,0.07,1,330,0,
7855847,Rental unit in Florence · ★4.74 · 2 bedrooms · 6 beds · 2 baths,5233183,Barbara,,Centro Storico,43.764,11.2571,Entire home/apt,90,4,31,2023-01-02,0.32,3,1,1,
